ID	x
ENSMUSG00000027698.14|Nceh1	3
ENSMUSG00000037730.13|Mynn	2
ENSMUSG00000027703.16|Lrriq4	2
ENSMUSG00000027706.8|Sec62	4
ENSMUSG00000037661.14|Gpr160	2
ENSMUSG00000037643.14|Prkci	1
ENSMUSG00000027660.16|Skil	4
ENSMUSG00000027665.13|Pik3ca	1
ENSMUSG00000103039.1|Gm37123	1
ENSMUSG00000027667.13|Zfp639	1
ENSMUSG00000056900.13|Usp13	1
ENSMUSG00000027677.17|Ttc14	1
ENSMUSG00000074637.7|Sox2	1
ENSMUSG00000106519.1|Gm38509	1
ENSMUSG00000105055.1|Gm43079	2
ENSMUSG00000033883.11|D3Ertd254e	5
ENSMUSG00000037270.18|4932438A13Rik	1
ENSMUSG00000086090.1|Gm12531	2
ENSMUSG00000051444.9|Bbs12	2
ENSMUSG00000027722.14|Spata5	1
ENSMUSG00000037211.12|Spry1	3
ENSMUSG00000025757.12|Hspa4l	1
ENSMUSG00000025758.10|Plk4	1
ENSMUSG00000025764.14|Jade1	2
ENSMUSG00000023087.15|Noct	2
ENSMUSG00000063273.11|Naa15	4
ENSMUSG00000027739.9|Rab33b	1
ENSMUSG00000044167.6|Foxo1	1
ENSMUSG00000036580.15|Spg20	2
ENSMUSG00000036503.13|Rnf13	1
ENSMUSG00000027806.9|Tsc22d2	3
ENSMUSG00000027810.14|Eif2a	1
ENSMUSG00000027763.13|Mbnl1	1
ENSMUSG00000053706.2|B430305J03Rik	5
ENSMUSG00000036885.14|Arhgef26	1
ENSMUSG00000027823.9|Gmps	1
ENSMUSG00000034640.9|Tiparp	3
ENSMUSG00000074579.14|Lekr1	1
ENSMUSG00000027774.16|Gfm1	1
ENSMUSG00000027775.9|Mfsd1	1
ENSMUSG00000027777.15|Schip1	2
ENSMUSG00000046999.2|1110032F04Rik	1
ENSMUSG00000027784.10|Ppm1l	1
ENSMUSG00000027811.9|4930579G24Rik	1
ENSMUSG00000028019.9|Pdgfc	2
ENSMUSG00000033900.13|Map9	4
ENSMUSG00000028086.15|Fbxw7	3
ENSMUSG00000028085.12|Gatb	1
ENSMUSG00000028082.14|Sh3d19	1
ENSMUSG00000028080.16|Lrba	1
ENSMUSG00000003382.18|Etv3	3
ENSMUSG00000041977.18|Arhgef11	2
ENSMUSG00000004897.16|Hdgf	1
ENSMUSG00000048039.8|Isg20l2	1
ENSMUSG00000004891.16|Nes	3
ENSMUSG00000028069.16|Gpatch4	1
ENSMUSG00000001419.17|Mef2d	2
ENSMUSG00000001420.13|Tmem79	1
ENSMUSG00000001415.10|Smg5	1
ENSMUSG00000041423.16|Paqr6	1
ENSMUSG00000074480.4|Mex3a	3
ENSMUSG00000008604.11|Ubqln4	1
ENSMUSG00000028059.15|Arhgef2	1
ENSMUSG00000028060.14|Khdc4	2
ENSMUSG00000028057.14|Rit1	1
ENSMUSG00000098912.7|1500004A13Rik	5
ENSMUSG00000106218.1|Gm43713	1
ENSMUSG00000068922.14|Msto1	3
ENSMUSG00000095712.1|Gm26465	1
ENSMUSG00000028053.13|Ash1l	6
ENSMUSG00000068917.12|Clk2	1
ENSMUSG00000028048.11|Gba	1
ENSMUSG00000042626.13|Shc1	2
ENSMUSG00000047824.13|Pygo2	2
ENSMUSG00000042613.9|Pbxip1	3
ENSMUSG00000027952.16|Pmvk	1
ENSMUSG00000000794.9|Kcnn3	1
ENSMUSG00000027951.16|Adar	1
ENSMUSG00000027950.7|Chrnb2	2
ENSMUSG00000042572.12|Ube2q1	3
